Pax,Check In,Check Out,Place,Web,Name Hotel,Price(Rm),Ratings
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"Putrajaya IOI CityMall -3bedroom,swimming pool,gym",227.0,9.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"Dorsett Residences, Sri Hartamas-KL, Hotel Theme Studio Homes by Flexihome-MY",200.0,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Greenfield Residence At Sunway City by Nexx Field,164.0,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,D'Kroll Home@Utropolis Glenmarie Studio Suite,103.0,9.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Soho Suites KLCC by 21 Century travel,304.0,7.7
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Platinum Suites @ Swiss Garden,167.0,7.3
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Dua Sentral by Cobnb,108.0,8.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Greystone Robertson Residence,121.0,7.8
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"De Centrum by Adam Homestay, Putrajaya Kajang Bangi",110.0,8.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,VLA 16 HOMESTAY PUTRAJAYA DWIPUTRA,185.0,8.7
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Glamping Wetland Putrajaya,177.0,8.9
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Sunway Lagoon View Resort Suite with 2 Bedroom,246.0,9.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,The President @ Bangsar South Mid Valley,82.0,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Entire Unit PJ PacificTower Pool Parking Opp JayaOne,85.0,7.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Modern 1BR Near Pavillion | Netflix & Fast Wi-Fi,129.0,8.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Parkland Residence Direct MRT 3Bedroom AsHome07,101.0,9.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Nurani Enap D'Putrajaya,132.0,9.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,One Bukit Ceylon Lumi 6 Pavillion Bukit Bintang ,122.0,9.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,CYBERJAYA SANITISED|NETFLIX|WiFi|PARKING|NEW .1003,75.0,9.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Pacific Tower PJ Section 13 WifiParkingOppJayaOne Mall,105.0,6.9
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Southville Stay @ Savanna Executive Suite,234.0,9.5
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Alanis Residence Sepang KLIA Kota Warisan,236.0,7.5
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Comfy Private Home @ Sky.Pod,108.0,8.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,DanzaStay1@CoreSoHo - nearby KLIA,116.0,9.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Promo Connected Train 2 Bedroom (ABOVE MALL) 28,186.0,9.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Soho Suites KLCC Family Suites/5-10mins to KLCC,345.0,9.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"HERITAGE 9 HOMESTAY Studio 4Pax, FREE WIFI",108.0,8.9
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Ostia Residence - NeeQ Homestay Ostia Bangi,193.0,9.9
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,1 Hati Homestay Sepang,50.0,9.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Villa 223,225.0,9.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Premium Suites at KLCC by Moonlight,159.0,8.5
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Cozy Suite @ Zetapark Setapak|Above Shopping Mall,140.0,9.3
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Pacific Place Evolve Mall LRT Pool Parking Netflix Kitchen,129.0,8.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Netizen Cozy Suite by Guestonic,92.0,9.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Nanas Dorsett 4pax Bukit Bintang Pavilion KL 910,304.0,9.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Mods London City @ Cyberjaya|KLIA+NETFLIX|,78.0,7.5
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,MODERN HOMESTAY @ SELAYANG RESIDENCE 280,192.0,9.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Kitakaya Homes Gaia Residence Rawang 912,221.0,9.9
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,SYG 7 Aura Suite Putrajaya 2 Bilik Tidur,193.0,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Berjaya Time Square 5paxs Bukit Bintang KL City,192.0,9.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Exclusive Family Suites 5-6 Pax @ Sunway Pyramid,296.0,8.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Dsara Sentral  FamilyHouse 3mins Hospital Sg Buloh,104.0,8.8
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Ekocheras @ Kuala Lumpur,344.0,8.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,SILK SKY Wi-Fi TV Box Balakong Serdang AsHome01,78.0,8.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,NEW # Midvalley MILLERZ SQUARE SUITE KL - Free Parking n WIFI by GOMAIN,127.0,8.5
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,KLCC view  Studio 3 Towers @ KL City Centre,89.0,6.7
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Traders Garden 1Bedroom C180 Cheras As Home 15,79.0,9.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Pacific Towers Star Seksyen 13 PJ Jaya One Parking Netflix Pool Kitchen,130.0,8.3
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,REVO near Pavilion2 Stadium Bukit Jalil 4-5pax,214.0,9.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Bintang Sky Villa Suites Times Square KL,147.0,8.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,The Ridge Twiinz.Inn @KL East Mall,210.0,9.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Empire Damansara Residence Suites,75.0,6.8
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Avani Sepang Goldcoast Resort  Couple Suites,331.0,8.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"106 TRX Luxury Suites, walk =TRX mall & Pavillion",399.0,8.7
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Neu Suites @ 3rdNvenue 003,75.0,7.7
